Nozare,Objekta nosaukums,ISIL kods,Adrese,LAT,LON,LKS-92 X,LKS-92 Y
Parvaldes institucijas,Kuldigas novada pasvaldibas Kulturas parvalde,LV-PARVALDE-000087,"Baznicas iela 1, Kuldiga, Kuldigas nov., LV-3301",56.96736,21.97049,315585,376614
Nevalstiskas organizacijas,"Kuldigas novada starptautiska kulturas projektu veicinasanas biedriba ""Cantare""",LV-NVO-013169,"Smilsu iela 6, Kuldiga, Kuldigas nov., LV-3301",56.96948,21.96735,315827,376430
EU2015.lv,Kuldigas pilsetas vesturiskais centrs,LV-EU2015-000041,"Kuldiga, Kuldigas nov.",56.96877,21.96982,315743,376578
Kulturvesturiskas vietas,Kuldigas Sv.Annas baznica,LV-VIE-000615,"Dzirnavu iela 14, Kuldiga, Kuldigas nov., LV-3301",56.96593,21.96718,315432,376408
Makslinieciskie kolektivi,"Kuldigas tautas deju ansambla ""Venta"" studija",LV-KOLEKTIVS-014829,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas tautas lietisķas makslas studija ""Ķocis""",LV-KOLEKTIVS-010247,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Makslinieciskie kolektivi,"Kuldigas tautas lietisķas makslas studija ""Varaviksne""",LV-KOLEKTIVS-010246,"Raina iela 21, Kuldiga, Kuldigas nov., LV-3301",56.9663,21.97027,315468,376597
Bibliotekas,Kuldigas Tehnologiju un turisma profesionalas vidusskolas biblioteka,LV-BIB-013512,"Liepajas iela 31, Kuldiga, Kuldigas nov., LV-3301",56.96862,21.96476,315736,376270
Kulturvesturiskas vietas,Kuldigas vecais ķiegelu tilts,LV-VIE-001299,"Pils iela 1, Kuldiga, Kuldigas nov., LV-3301",56.96882,21.9765,315737,376984
Kulturvesturiskas vietas,Kuldigas vecais ratsnams,LV-VIE-001296,"Baznicas iela 5, Kuldiga, Kuldigas nov., LV-3301",56.96771,21.971,315623,376646
Kulturvesturiskas vietas,Kuldigas vecpilseta,LV-VIE-001297,"Baznicas iela 2, Kuldiga, Kuldigas nov., LV-3301",56.96787,21.97051,315642,376617
Amatu prasmes,Kulinare Ivanda Ozolina,LV-PRS-000294,"Bilskas pag., Smiltenes nov.",,,,
Kulturvesturiskas vietas,Kulta vieta pie Doma baznicas,LV-VIE-000873,"Herdera laukums 6, Riga, LV-1050",56.94909,24.1048,311724,506375
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" bernu tautas deju kolektivs ""Pasacina""",LV-KOLEKTIVS-015993,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
Makslinieciskie kolektivi,"Kulturas centra ""Bergi"" bernu vokalais ansamblis ""Skudrinas""",LV-KOLEKTIVS-015994,"Brivibas gatve 455, Riga, LV-1024",57.00027,24.27372,317450,516628
